6	13685	YFM	@Y1079FM	107.9	yarn for more	444554	1	1	Tetteh Quarshie	Accra mall	0244447587		arts\YFM - 107.9.png	1	2017-04-16 06:34:59	2017-04-16 06:59:17
7	10772	Starr FM	@Starr1035Fm	103.5	simply the best	421247854	1	1	Nima	Silver cup	0224512458		arts\Starr FM - 103.5.jpg	1	2017-04-16 06:45:33	2017-04-16 07:00:29
8	10779	Citi FM	@Citi973	93.7	a refreshing lifestyle	3625412	1	1	Accra	Angetebu Rd, Accra	030 222 6171		arts\Citi FM - 93.7.jpg	1	2017-04-16 06:50:02	2017-04-16 06:59:46
4	10708	Live FM	@live919fm	91.90	Music play station	8545214	1	1	Asylum Down	Asylum down housing	0201252142		arts/Live FM - 91.90.png	1	2017-04-08 13:45:15	2017-04-16 17:31:12
5	10777	Adom FM	@Adomonline	106.30	All talk, all day	854521457	1	1	Kokomlemle	Kokomlemle Building	0254511121		arts\Adom FM - 106.30.jpg	1	2017-04-08 13:48:39	2017-04-16 06:07:39
9	10236	XFM	@XfmGhana	Online	for the X in you!	7845478	1	1	Accra	Osu, Accra	0244545785		arts/XFM - Online.png	1	2017-04-16 15:34:22	2017-05-15 20:46:14
10	10782	Kessben FM	@KESSBEN933FM	93.3	a new wave of excellence in radio	854785	1	10	Kumasi	Third Floor, House, Adum – Kumasi	0322037405		arts/Kessben FM - 93.3.jpg	1	2017-04-16 15:41:33	2017-05-15 20:47:28
12	10778	atinka FM	@Atinka1047	104.7	feeling wom	8854652	1	1	Accra	Atinka Media Village Avenor Junction, Behind Abii National Accra	+233302223103 , +233302223096		arts/atinka FM - 104.7.jpg	1	2017-04-16 15:53:29	2017-05-15 21:32:21
13	10776	3FM		95.1	fair and square	52142621	1	1	Accra	TV3 Premises in Adesa We, Kanda, adjacent to the FlagStaff House	0302763459, 0501529235		arts/3FM - 95.1.jpg	1	2017-04-16 16:01:10	2017-05-15 21:34:22
14	10775	Top FM		103.1	ye ti so	7454587	1	1	Accra	Kokomlemle	0248578564		arts/Top FM - 103.1.png	1	2017-04-16 21:07:51	2017-05-15 21:37:51
15	10812	Hitz FM	@Hitz1039FM	103.9	means entertainment	8521234	1	1	Accra	Joy FM Building Kokomlemle Accra	0302216568		arts\Hitz FM - 103.9.png	1	2017-04-17 08:56:34	2017-04-17 08:56:34
16	10886	Pluzz FM		89.9	add more to your life	1214524	1	2	Kasoa	West-hills Mall	0302457845		arts\Pluzz FM - 89.9.jpg	1	2017-04-23 22:13:32	2017-04-23 22:13:32
17	10979	Class FM	@Class913fm	93.1	empowering excellence	124554	1	1	Accra	No.147 Roman Ridge, Roman Ridge	+233-03-02788558		arts\Class FM - 93.1.png	1	2017-05-03 15:01:40	2017-05-03 15:01:40
18	10980	Vision 1		93.5		121478	1	1	Achimota		+233303976963		arts\Vision 1 - 93.5.png	1	2017-05-03 15:12:42	2017-05-03 15:12:42
19	11150	Joy FM	@Joy997FM	99.7	Discerning Listeners!!	3435223	1	1	Accra	Faanofa Rd	+233 302 21 65 40		arts/Joy FM - 99.7.jpg	17	2017-05-15 20:44:12	2017-05-17 22:17:52
